15/11/2018	23/07/2018	115	India	India	Ottawa	N/A				58409
15/11/2018	23/05/2018	176	South Africa	South Africa	Pretoria	2				58504
15/11/2018	21/06/2018	147	Brazil	Brazil	Ottawa	2	16/10/2018	30		59991
15/11/2018	08/08/2018	99	India	India		3				60324
15/11/2018	04/08/2018	103	India	United States of America						60929
16/11/2018	07/06/2018	162	India	India	Sydney	2				49282
16/11/2018	01/08/2018	107	India	United States of America						53231
16/11/2018	28/06/2018	141	India	Australia		1				57761
19/11/2018	04/08/2017	472	Pakistan	Pakistan	London	1	06/11/2018	13		34112
19/11/2018	07/06/2018	165	India	India	New Delhi	3				47884
19/11/2018	19/06/2018	153	India	India	New Delhi	2				48607
19/11/2018	19/06/2018	153	India	India	New Delhi	2				48801
19/11/2018	19/08/2017	457	Paraguay	United Kingdom of Great Britain and Northern Ireland	London	2			07/03/2018	29697
19/11/2018	28/06/2018	144	India	India	New Delhi	2				50777
19/11/2018	08/07/2018	134	India	United States of America	Ottawa	3				50835
19/11/2018	25/07/2018	117	India	United States of America	Ottawa	1				51577
19/11/2018	20/08/2018	91	India	India		4				54642
19/11/2018	05/07/2018	137	Pakistan	Pakistan	Vienna	1				55571
19/11/2018	27/06/2018	145	India	India	New Delhi	1				57478
19/11/2018	19/06/2018	153	India	India	New Delhi	2				59185
19/11/2018	03/06/2018	169	India	India	New Delhi					61055
19/11/2018	01/06/2018	171	India	India	New Delhi					61056
20/11/2018	03/08/2017	474	Pakistan	Pakistan	London	1	29/11/2017	356	15/11/2017	26090
20/11/2018	29/08/2017	448	Egypt	Oman	London	5	14/02/2018	279	18/02/2018	44042
20/11/2018	14/07/2018	129	Nigeria	Nigeria	Ottawa	1				50974
20/11/2018	25/07/2018	118	India	India	Ottawa	2				52439
20/11/2018	25/07/2018	118	Nigeria	Nigeria	Ottawa	5			03/10/2018	54842
20/11/2018	04/08/2018	108	India	India		N/A				54926
20/11/2018	27/07/2018	116	India	India	Ottawa	1				60524
20/11/2018	19/09/2018	62	Nigeria	Nigeria		3				61303
20/11/2018	17/07/2018	126	Nigeria	Nigeria		1				61308
21/11/2018	23/07/2018	121	India	India	Ottawa	2	14/08/2018	99		59514
21/11/2018	29/08/2018	84	Nigeria	Nigeria	Ottawa	1				55031
21/11/2018	08/04/2018	227	India	India	Ottawa	2				44144
21/11/2018	06/07/2018	138	Brazil	Brazil	Ottawa	1				48265
21/11/2018	01/04/2018	234	India	India	New Delhi	1				46637
21/11/2018	01/07/2018	143	India	India	Ottawa	1				50460
21/11/2018	17/07/2018	127	India	India	Ottawa	2				53861
21/11/2018	21/08/2018	92	India	India	Ottawa	1				56206
22/11/2018	23/07/2018	122	Morocco	Morocco	Ottawa		07/11/2018	15		51253
22/11/2018	03/07/2018	142	Pakistan	Pakistan		2				51645
22/11/2018	15/09/2018	68	Pakistan	Pakistan	London	1	15/11/2018	7		55953
22/11/2018	21/07/2018	124	Morocco	Morocco		1				57447
22/11/2018	11/09/2018	72	Pakistan	Pakistan	London	N/A				60465
23/11/2018	03/06/2018	173	India	India	New Delhi	3				47510
23/11/2018	24/06/2018	152	Pakistan	Saudi Arabia	Vienna	3				50256
23/11/2018	19/07/2018	127	India	Saudi Arabia	Ottawa	4				51198
23/11/2018	03/06/2018	173	India	India	New Delhi	3				47510
23/11/2018	19/07/2018	127	India	Kuwait	Ottawa	2				51072
24/11/2018	04/09/2018	81	Turkey	Turkey		1	09/11/2018	15		55920
24/11/2018	24/07/2018	123	Belgium	Belgium	Ottawa	4				51342
24/11/2018	20/07/2018	127	Greece	Spain	Paris	2				51258
